date,sales,revenue,stock,price,is_promoted
2018-03-11,0.0,0.0,11.0,4.75,0
2019-08-22,0.0,0.0,12.0,2.95,0
2018-03-04,0.0,0.0,6.0,9.0,1
2017-02-03,0.0,0.0,4.0,12.95,0
2018-04-03,3.0,6.81,11.0,2.45,0
2017-02-05,0.0,0.0,5.0,3.95,0
2019-03-13,0.0,0.0,6.0,36.95,0
2017-08-08,0.0,0.0,8.0,8.9,0
2019-05-10,0.0,0.0,1.0,24.95,1
2018-03-16,0.0,0.0,9.0,6.0,0
2018-10-28,0.0,0.0,7.0,9.95,0
2019-06-19,0.0,0.0,19.0,0.65,0
2019-07-07,0.0,0.0,3.0,49.9,0
2018-06-10,0.0,0.0,10.0,8.0,0
2018-04-27,0.0,0.0,17.0,3.75,0
2018-05-01,0.0,0.0,1.0,24.9,0
2018-06-16,0.0,0.0,2.0,6.0,0
2017-09-10,0.0,0.0,16.0,3.95,1
2018-12-07,0.0,0.0,11.0,11.9,1
2017-09-29,0.0,0.0,4.0,3.5,0
2017-03-18,0.0,0.0,11.0,17.5,0
2017-02-06,0.0,0.0,18.0,4.75,0
2017-03-01,0.0,0.0,1.0,15.0,0
2018-08-21,0.0,0.0,3.0,13.5,0
2019-07-28,0.0,0.0,1.0,159.75,0
2017-03-27,0.0,0.0,3.0,4.95,0
2017-05-05,1.0,1.62,43.0,1.75,1
2018-07-09,0.0,0.0,20.0,,0
2019-09-13,0.0,0.0,2.0,99.9,0
2019-06-01,9.0,20.0,58.0,2.4,0
2019-10-18,0.0,0.0,2.0,22.95,1
2017-02-11,0.0,0.0,53.0,4.9,1
2018-02-14,1.0,4.66,7.0,5.5,0
2017-01-28,0.0,0.0,3.0,5.99,1
2019-09-26,0.0,0.0,3.0,10.0,0
2019-01-22,0.0,0.0,3.0,3.5,0
2018-12-13,0.0,0.0,9.0,24.95,0
2017-09-23,0.0,0.0,27.0,5.75,0
2018-04-20,0.0,0.0,12.0,4.9,0
2018-01-22,0.0,0.0,8.0,3.0,0
2018-03-29,1.0,3.7,16.0,4.0,1
2017-06-03,0.0,0.0,5.0,10.9,0
2017-01-03,0.0,0.0,5.0,24.5,0
2017-02-06,0.0,0.0,33.0,8.95,0
2018-12-03,0.0,0.0,26.0,5.75,1
2019-06-01,0.0,0.0,11.0,3.3,0
2017-04-26,0.0,0.0,53.0,3.95,1
2018-03-03,0.0,0.0,2.0,0.75,0
2017-08-21,0.0,0.0,18.0,12.9,0
2018-04-23,0.0,0.0,16.0,1.85,0
2019-07-12,0.0,0.0,8.0,1.5,0
2018-03-23,0.0,0.0,3.0,18.9,0
2017-03-14,0.0,0.0,4.0,1.75,0
2018-08-11,0.0,0.0,7.0,5.0,0
2017-11-04,0.0,0.0,14.0,5.25,0
2019-05-14,0.0,0.0,2.0,10.0,0
2019-03-29,0.0,0.0,34.0,22.5,0
2017-10-25,0.0,0.0,10.0,1.0,0
2018-05-23,0.0,0.0,53.0,,0
2018-06-01,0.0,0.0,72.0,1.15,0
2019-05-13,0.0,0.0,2.0,8.5,0
2018-05-04,0.0,0.0,6.0,1.15,0
2019-04-18,0.0,0.0,6.0,41.9,1
2019-01-20,0.0,0.0,9.0,16.9,1
2018-08-25,0.0,0.0,9.0,7.95,0
2017-08-02,1.0,2.13,6.0,2.3,0
2019-08-07,0.0,0.0,2.0,1.75,0
2019-08-18,0.0,0.0,6.0,9.95,1
2019-02-01,0.0,0.0,4.0,8.5,0
2019-03-10,0.0,0.0,2.0,0.75,0
2018-09-14,0.0,0.0,2.0,13.9,0
2017-05-23,0.0,0.0,9.0,14.9,1
2018-12-25,2.0,7.31,11.0,3.95,0
2019-08-16,0.0,0.0,14.0,0.75,0
2019-10-25,0.0,0.0,92.0,18.9,0
2019-09-12,0.0,0.0,2.0,10.0,0
2018-01-12,0.0,0.0,10.0,10.9,0
2018-08-02,2.0,3.61,5.0,1.95,0
2019-01-13,1.0,0.75,1.0,0.75,0
2019-06-14,0.0,0.0,21.0,3.95,0
2018-04-11,0.0,0.0,44.0,3.95,0
2017-11-17,0.0,0.0,7.0,5.9,1
2018-01-10,0.0,0.0,23.0,1.0,0
2018-06-24,1.0,4.19,44.0,8.25,1
2017-09-25,0.0,0.0,10.0,1.45,0
2019-08-29,0.0,0.0,6.0,15.5,0
2018-06-28,0.0,0.0,2.0,11.9,0
2019-09-08,1.0,2.78,11.0,3.0,0
2019-01-26,0.0,0.0,2.0,3.25,1
2019-10-01,0.0,0.0,38.0,4.95,0
2017-02-03,0.0,0.0,14.0,1.75,0
2018-09-28,0.0,0.0,9.0,7.25,0
2017-11-28,0.0,0.0,8.0,29.95,0
2019-08-08,1.0,4.17,5.0,4.5,0
2017-04-02,0.0,0.0,13.0,11.45,0
2019-03-30,0.0,0.0,24.0,4.0,0
2019-01-08,0.0,0.0,14.0,8.5,0
2017-05-06,0.0,0.0,7.0,1.4,0
2018-06-13,0.0,0.0,69.0,11.9,1
2018-07-21,0.0,0.0,1.0,124.9,0
2019-05-24,0.0,0.0,10.0,7.0,0
2019-06-27,0.0,0.0,6.0,6.5,0
2018-03-10,0.0,0.0,8.0,11.9,0
2018-08-15,0.0,0.0,3.0,4.25,0
2017-07-09,0.0,0.0,2.0,53.9,0
2019-02-04,0.0,0.0,5.0,13.95,0
2019-03-08,1.0,1.16,22.0,1.25,0
2019-07-06,1.0,4.07,22.0,4.4,0
2019-04-27,0.0,0.0,55.0,13.5,0
2017-09-30,0.0,0.0,8.0,7.75,0
2019-03-26,0.0,0.0,12.0,22.95,0
2019-06-20,0.0,0.0,12.0,23.9,0
2018-03-31,3.0,3.47,76.0,1.25,0
2019-10-06,1.0,20.55,4.0,24.25,0
2018-02-17,0.0,0.0,20.0,3.85,0
2019-05-23,1.0,24.49,5.0,28.9,0
2019-05-18,1.0,13.61,9.0,22.95,1
2019-06-03,2.0,5.46,33.0,2.95,0
2018-01-05,0.0,0.0,21.0,,0
2018-06-09,0.0,0.0,29.0,3.35,1
2018-04-16,1.0,1.85,11.0,2.0,0
2019-10-18,0.0,0.0,7.0,11.75,1
2019-03-22,0.0,0.0,2.0,14.99,0
2018-10-26,3.0,5.42,50.0,1.95,0
2018-09-08,0.0,0.0,5.0,19.95,0
2018-05-04,0.0,0.0,8.0,5.75,0
2018-12-31,0.0,0.0,4.0,18.5,1
2017-04-10,1.0,6.06,2.0,6.55,0
2017-12-16,0.0,0.0,2.0,9.5,0
2019-04-19,0.0,0.0,21.0,1.25,0
2019-02-22,0.0,0.0,9.0,11.75,0
2019-03-13,0.0,0.0,5.0,2.95,0
2018-10-28,0.0,0.0,6.0,23.9,0
2019-04-07,1.0,7.18,8.0,7.75,0
2018-03-10,1.0,5.0,32.0,5.9,0
2019-10-21,0.0,0.0,6.0,4.9,0
2017-09-30,0.0,0.0,15.0,0.6,0
2017-06-01,0.0,0.0,34.0,9.35,0
2019-05-10,0.0,0.0,2.0,34.5,0
2018-08-26,0.0,0.0,27.0,2.0,0
2018-03-25,0.0,0.0,6.0,3.75,0
2017-06-18,0.0,0.0,11.0,11.9,0
2018-03-03,2.0,6.48,12.0,3.5,0
2018-11-07,0.0,0.0,5.0,16.95,0
2017-03-31,0.0,0.0,5.0,16.9,1
2019-06-17,8.0,44.44,35.0,6.0,1
2017-10-08,0.0,0.0,5.0,2.5,0
2018-11-26,0.0,0.0,27.0,0.5,0
2018-09-01,1.0,11.57,6.0,12.5,1
2017-05-05,0.0,0.0,5.0,9.45,0
2018-09-17,6.0,3.33,55.0,0.6,0
2018-02-18,0.0,0.0,8.0,1.25,0
2018-09-01,0.0,0.0,5.0,3.0,0
2017-09-10,0.0,0.0,7.0,1.0,0
2018-06-05,1.0,15.25,2.0,23.99,1
2019-09-18,0.0,0.0,4.0,10.75,0
2017-03-31,1.0,8.75,4.0,9.45,0
2019-02-01,0.0,0.0,8.0,10.5,1
2018-02-07,1.0,4.66,6.0,,0
2019-06-24,0.0,0.0,2.0,15.0,0
2018-07-05,0.0,0.0,50.0,1.15,0
2017-02-16,0.0,0.0,2.0,15.0,0
2017-12-30,0.0,0.0,7.0,20.9,0
2018-06-04,0.0,0.0,5.0,59.9,0
2018-12-18,0.0,0.0,3.0,9.0,0
2018-12-01,0.0,0.0,7.0,21.95,0
2019-04-13,0.0,0.0,4.0,8.95,0
2018-11-08,2.0,5.46,15.0,2.95,0
2019-10-23,0.0,0.0,23.0,1.95,0
2018-05-24,0.0,0.0,6.0,34.95,1
2019-08-24,0.0,0.0,40.0,14.9,0
2018-06-03,6.0,18.89,49.0,3.4,0
2018-08-10,0.0,0.0,33.0,2.45,0
2018-03-11,0.0,0.0,7.0,4.15,0
2017-07-15,0.0,0.0,27.0,1.15,0
2017-01-02,5.0,12.27,141.0,2.65,0
2018-10-07,0.0,0.0,6.0,23.25,0
2018-08-10,0.0,0.0,3.0,6.75,1
2018-02-20,0.0,0.0,4.0,3.25,0
2018-06-12,0.0,0.0,2.0,34.9,1
2018-09-13,0.0,0.0,22.0,0.9,0
2019-06-11,0.0,0.0,6.0,34.95,0
2019-09-12,1.0,11.81,2.0,19.9,1
2019-01-27,0.0,0.0,3.0,29.95,0
2019-07-20,0.0,0.0,4.0,12.5,0
2017-09-24,1.0,7.36,4.0,7.95,0
2017-08-13,0.0,0.0,3.0,9.45,1
2018-02-07,0.0,0.0,65.0,,0
2017-01-08,0.0,0.0,8.0,2.5,0
2017-03-20,0.0,0.0,14.0,0.45,0
2019-01-31,0.0,0.0,91.0,1.0,0
2019-05-10,0.0,0.0,29.0,6.75,1
2019-04-20,0.0,0.0,12.0,15.0,1
2018-06-01,0.0,0.0,3.0,59.9,0
2018-07-20,0.0,0.0,6.0,16.9,1
2017-01-21,0.0,0.0,5.0,33.9,0
2018-11-18,0.0,0.0,6.0,29.95,0
2017-06-13,0.0,0.0,11.0,2.95,0
2017-06-24,0.0,0.0,14.0,1.0,0
2017-06-17,0.0,0.0,3.0,16.9,0
2019-04-03,0.0,0.0,4.0,7.75,0
2018-08-31,0.0,0.0,2.0,0.75,0
2018-05-13,0.0,0.0,6.0,12.9,0
2018-03-01,0.0,0.0,37.0,3.25,0
2017-09-29,0.0,0.0,5.0,,0
2018-10-11,0.0,0.0,4.0,28.9,0
2018-02-23,0.0,0.0,3.0,7.5,0
2019-10-18,0.0,0.0,2.0,19.9,0
2019-06-13,0.0,0.0,2.0,75.9,0
2019-09-19,2.0,1.85,28.0,1.0,0
2018-09-14,0.0,0.0,5.0,12.95,1
2018-03-27,0.0,0.0,6.0,1.0,0
2017-10-04,0.0,0.0,12.0,1.75,0
2018-03-07,0.0,0.0,5.0,3.85,0
2018-04-16,0.0,0.0,8.0,12.5,0
2017-09-13,0.0,0.0,6.0,6.55,1
2018-12-05,0.0,0.0,1.0,11.9,0
2017-04-10,0.0,0.0,7.0,3.5,0
2018-12-05,0.0,0.0,14.0,10.0,0
2018-07-26,0.0,0.0,6.0,4.95,0
2017-08-19,0.0,0.0,13.0,11.9,0
2019-03-21,0.0,0.0,5.0,13.95,0
2019-01-14,0.0,0.0,14.0,3.25,0
2018-06-08,0.0,0.0,7.0,9.5,0
2018-01-07,0.0,0.0,1.0,6.45,0
2018-11-03,1.0,2.73,8.0,2.95,0
2019-04-15,0.0,0.0,6.0,5.5,0
2017-04-14,0.0,0.0,9.0,2.2,0
2018-07-04,0.0,0.0,14.0,23.99,0
2019-01-04,0.0,0.0,3.0,24.9,0
2019-08-30,0.0,0.0,8.0,37.95,1
2017-08-01,1.0,21.35,6.0,25.19,0
2019-08-11,0.0,0.0,7.0,34.9,0
2018-09-21,0.0,0.0,11.0,2.5,0
2018-05-06,0.0,0.0,2.0,3.95,0
2019-02-25,0.0,0.0,30.0,12.95,0
2017-02-24,3.0,7.36,50.0,2.65,0
2018-09-01,0.0,0.0,6.0,39.9,0
2019-08-14,0.0,0.0,1.0,49.9,1
2017-01-26,0.0,0.0,12.0,21.5,0
2018-12-19,0.0,0.0,18.0,3.25,0
2018-01-23,0.0,0.0,4.0,10.9,0
2018-07-11,3.0,1.39,17.0,0.5,0
2017-05-15,0.0,0.0,2.0,2.25,0
2019-07-20,0.0,0.0,4.0,21.95,0
2018-06-21,0.0,0.0,18.0,34.9,0
2019-10-07,0.0,0.0,7.0,9.95,0
2019-02-07,1.0,8.5,15.0,8.5,0
2019-03-21,0.0,0.0,7.0,29.95,0
2019-09-15,0.0,0.0,12.0,34.9,0
2017-12-25,0.0,0.0,28.0,5.95,0
2019-05-13,0.0,0.0,9.0,34.0,1
2019-03-13,0.0,0.0,12.0,5.45,0
2019-01-24,0.0,0.0,5.0,21.95,0
2018-11-21,0.0,0.0,14.0,3.0,0
2017-06-09,0.0,0.0,7.0,2.2,0
2017-04-01,0.0,0.0,11.0,1.25,0
2019-10-27,0.0,0.0,5.0,41.5,0
2019-09-09,0.0,0.0,10.0,39.95,0
2019-05-15,0.0,0.0,49.0,1.0,0
2018-10-31,0.0,0.0,15.0,2.45,0
2019-02-08,0.0,0.0,2.0,21.95,0
2017-06-06,0.0,0.0,18.0,16.9,0
2018-09-03,0.0,0.0,6.0,2.35,0
2017-10-28,0.0,0.0,14.0,21.5,0
2019-06-04,0.0,0.0,14.0,5.45,0
2019-04-30,0.0,0.0,3.0,2.1,0
2017-07-31,0.0,0.0,5.0,2.2,0
2018-07-04,0.0,0.0,11.0,24.9,0
2017-09-27,0.0,0.0,51.0,2.45,0
2018-11-03,0.0,0.0,4.0,1.0,0
2018-01-22,1.0,2.31,35.0,2.5,0
2019-01-01,3.0,12.89,24.0,7.25,1
2018-06-21,0.0,0.0,17.0,11.9,0
2018-11-16,0.0,0.0,3.0,8.0,1
2019-02-01,0.0,0.0,1.0,14.9,0
2019-09-22,0.0,0.0,16.0,14.9,1
2019-01-27,2.0,46.9,4.0,36.9,1
2018-07-13,0.0,0.0,20.0,,0
2019-02-14,0.0,0.0,9.0,6.35,0
2018-06-26,0.0,0.0,44.0,1.25,0
2017-12-27,0.0,0.0,5.0,6.4,0
2017-02-07,0.0,0.0,1.0,3.15,0
2017-11-01,0.0,0.0,12.0,18.95,0
2018-07-03,0.0,0.0,3.0,,0
2018-12-12,0.0,0.0,14.0,3.1,0
2017-10-18,0.0,0.0,28.0,2.6,0
2019-08-18,0.0,0.0,16.0,11.75,0
2017-03-07,0.0,0.0,30.0,2.5,0
2018-05-09,0.0,0.0,3.0,68.95,0
2017-02-25,0.0,0.0,21.0,12.0,0
2018-12-07,0.0,0.0,12.0,41.9,0
2018-02-05,0.0,0.0,3.0,10.75,0
2018-09-21,0.0,0.0,4.0,49.9,1
2019-07-06,0.0,0.0,1.0,0.75,0
2019-04-20,0.0,0.0,10.0,79.9,1
2017-11-29,0.0,0.0,10.0,19.9,0
2018-11-12,0.0,0.0,3.0,34.0,1
2017-10-08,0.0,0.0,7.0,18.5,1
2019-03-09,0.0,0.0,2.0,34.5,0
2019-07-02,0.0,0.0,27.0,1.25,0
2018-07-21,0.0,0.0,32.0,11.95,0
2017-04-18,0.0,0.0,3.0,59.5,1
2019-06-08,0.0,0.0,13.0,3.95,0
2019-10-25,1.0,3.94,16.0,6.95,1
2017-10-04,0.0,0.0,6.0,9.95,0
2019-07-14,0.0,0.0,3.0,28.9,0
2019-05-13,1.0,3.01,8.0,3.25,0
2017-11-12,0.0,0.0,15.0,1.0,0
2019-03-19,0.0,0.0,4.0,7.25,0
2017-10-19,0.0,0.0,2.0,2.5,0
2018-06-13,0.0,0.0,5.0,,0
2017-11-22,0.0,0.0,12.0,49.9,0
2017-02-27,1.0,0.46,45.0,0.5,0
2018-02-03,0.0,0.0,25.0,1.0,0
2019-10-18,0.0,0.0,5.0,22.9,0
2019-02-16,0.0,0.0,4.0,14.95,0
2018-06-14,0.0,0.0,14.0,13.5,0
